6 City of Interview,7 Type of Outlet,8 Company,10 Outlet Name,43 - NFR Present or Not,44 Area bracket (sq. feet),44 Approx. area (sq. feet),Monthly Revenue (FR),Rev per Sq. Ft (FR),Margin per Sq. Ft (FR),Monthly Revenue (NFR),NFR revenues as % of Total revenues,Rev per Sq. ft (NFR),Margin per Sq. Ft (NFR),Monthly NFR Profit,Cost as % of Revenue,Demographics - Population - Total,Demographics - Male Population,Demographics - Female Population,Demographics - Total Literate Population,Demographics - Male %,Demographics - Female %,Demographics - Literacy %,Grocery / Hypermart - Concentration of Grocery / Hypermart With respect to Population,Restaurant - Concentration of Restaurant With respect to Population,Hospital - Concentration of Hospital With respect to Population,Police Station - Concentration of Police Station  With respect to Population,Higher Education Institutes - Concentration of higher education institutes  With respect to Population,Apparel Brands Budget - Concentration of apparel brands budget  With respect to Population,Apparel Brands Mid Range - Concentration of apparel brands mid range  With respect to Population,Apparel Brands - Luxury - High Range - Concentration of apparel brands - luxury - high range With respect to Population,Electronics Store - Concentration of Electronics Store  With respect to Population,Gym - Concentration of Gym  With respect to Population,Gym Mid-Range - Concentration of gym mid-range  With respect to Population,Pet Store - Concentration of Pet Store  With respect to Population,Car Rental - Concentration of Car Rental  With respect to Population,Clinics - Concentration of Clinics  With respect to Population,Dentist - Concentration of Dentist  With respect to Population,Pharmacy - Concentration of Pharmacy  With respect to Population,Private Sector Bank - Concentration of private sector bank  With respect to Population,Public Sector Bank - Concentration of public sector bank  With respect to Population,Cafe - Concentration of Cafe  With respect to Population,Latitude,Longitude,Address,Aggregated vehicle related requirements,Truck Stops (Auto Repair / Rest),QSR / Restaurant / Dhaba,Virtual C-store,One stop shop for daily farmer needs,Pharmacy,Forecourt Advertising
NH 48 (Delhi-Mumbai stretch),Highway,IOCL ,New Bombay Petroleum,1,"4) >20,000",27000,50000000,2469.135802,2444.444444,100000,0.001996008,14.81481481,10.37037037,70000,0.3,67489,18623,16359,27452,0.275941265,0.242395057,0.406762584,0.13336,0.17781,0.01482,0.01482,0.01482,0,0,0,0.20744,0,0,0,0,0,0,0.10372,0,0.04445,0.02963,19.097886,73.0714509,"New Bombay Petroleum, Highway Sanpada, NH 48 (Delhi-Mumbai stretch)",0,1,1,0,0,0,0
NH 48 (Delhi-Mumbai stretch),Highway,IOCL ,Jagnath Petrol Service,1,"4) >20,000",25000,40000000,2133.333333,2106.666667,335000,0.008305442,53.6,29.6,185000,0.447761194,255422,50385,44776,73020,0.197261786,0.175302049,0.285879838,1.28024,0.84958,0.34844,0.03132,0.14094,0,0.01175,0.00392,0.98269,0.11354,0,0.01958,0.01175,0.13703,0.2584,0.4659,0.16443,0.12528,0.08613,19.0331397,73.1052247,"Jagnath Petrol Service, Kalamboli Panvel Road, NH 48 (Delhi-Mumbai stretch)",0,1,1,0,0,0,0
NH 48 (Delhi-Mumbai stretch),Highway,IOCL ,Belapur Automobile,1,"4) >20,000",21000,40000000,2539.68254,2511.111111,450000,0.011124845,85.71428571,61.9047619,325000,0.277777778,209254,76548,66753,114021,0.365813796,0.319004655,0.54489281,0.97489,0.66426,0.25806,0.00956,0.08602,0,0.00956,0.00478,0.80285,0.10514,0.00478,0.03823,0.03823,0.15292,0.16248,0.54001,0.10036,0.06213,0.10514,19.1632121,73.0213256,"Belapur Automobile, Opp Belapur Stn Pune Bangalore Highway Belapur, NH 48 (Delhi-Mumbai stretch)",0,1,0,0,0,0,1
Nagpur,Rural,BPCL ,Bombay Automobiles,1,"4) >20,000",20000,20000000,1333.333333,1313.333333,90000,0.004479841,18,-12,-60000,1.666666667,62725,33111,31407,51853,0.527875648,0.500709446,0.826671981,1.67398,0.46234,0.30291,0.01594,0.17537,0,0,0,1.1957,0.12754,0,0,0,0.06377,0.01594,0.38262,0.04783,0.07971,0.03189,21.1454905,79.1717377,"Bombay Automobiles, Malgaon Village  Pardi Nagpur, Nagpur",0,0,0,0,1,0,0
NH-3 Indore,Highway,HPCL ,Supreme Auto Centre,1,"4) >20,000",20000,80000000,5333.333333,5298.333333,100000,0.001248439,20,12,60000,0.4,147288,57762,53450,81846,0.392170442,0.362894465,0.555686818,0.74684,0.8962,0.21726,0.02037,0.10184,0,0.03395,0.02037,0.80115,0.16295,0,0.02037,0.03395,0.14937,0.11542,0.39379,0.13579,0.17653,0.20368,22.774504,75.9029964,"Supreme Auto Centre, Dewas Naka, Lasudiya Mori, NH-3 Indore",0,1,1,0,0,0,0
NH-3 Indore,Highway,HPCL ,Gati Corporation Ltd.,1,"4) >20,000",20000,70000000,4666.666667,4640,220000,0.003133011,44,29,145000,0.340909091,128282,50309,46553,71285,0.392175052,0.362895808,0.555689808,0.69378,0.8263,0.1715,0.02339,0.07016,0,0.01559,0.02339,0.81071,0.10134,0,0.0078,0.03118,0.09354,0.06236,0.38977,0.10134,0.1637,0.1637,22.7780514,75.9033518,"Gati Corporation Ltd., Lasudiya Mori, Agra Bombay Highway, NH-3 Indore",0,0,1,0,0,0,0
Arra,Rural,Reliance ,Shriram Service Station,1,"4) >20,000",20000,4000000,266.6666667,250,35000,0.008674102,7,-3,-15000,1.428571429,29620,13563,12365,13658,0.457900068,0.417454423,0.46110736,0.03376,0.1688,0.10128,0,0.60769,0,0,0,0.10128,0,0,0,0,0.10128,0,0,0,0.20256,0.06752,28.8200421,78.6285581,"Shriram Service Station, Dhanupura, Arra",0,0,0,0,1,0,0
NH 2 - Palwal,Highway,HPCL ,M/S Motiram And Sons ,1,"4) >20,000",18000,50000000,3703.703704,3672.222222,150000,0.002991027,33.33333333,11.11111111,50000,0.666666667,89165,40467,35475,47984,0.453843997,0.397857904,0.538148377,0.96451,0.93086,0.94208,0.05608,0.23552,0.01122,0.01122,0,2.00752,0.24673,0,0.04486,0,0.16823,0.20187,0.67291,0.32524,0.35889,0.12337,28.138792,77.328192,"M/S Motiram And Sons , D.G.T. Road Palwal, NH 2 - Palwal",0,1,0,0,0,1,0
NH 48 (Delhi-Mumbai stretch),Highway,HPCL ,Gurukripa Petrol Pump,1,"4) >20,000",18000,100000000,7407.407407,7377.777778,245000,0.002444012,54.44444444,21.11111111,95000,0.612244898,234185,71498,62349,106498,0.305305634,0.26623823,0.454760126,1.67816,1.75502,0.39712,0.02135,0.28183,0,0.02562,0.00427,1.37071,0.29037,0,0.06832,0.0427,0.52949,0.41847,0.68749,0.30318,0.2434,0.2007,19.0429886,73.0088322,"Gurukripa Petrol Pump, Palm Beach Road Nerul, NH 48 (Delhi-Mumbai stretch)",0,1,0,0,0,0,0
Lucknow ,Rural,HPCL ,Mayur Filling Center ,1,"4) >20,000",16000,2000000,166.6666667,141.6666667,75000,0.036144578,18.75,1.25,5000,0.933333333,126656,57163,53072,73763,0.451324848,0.41902476,0.582388517,1.81594,0.91587,0.63163,0.10264,0.45004,0.06316,0.06316,0.04737,2.65285,0.12633,0,0.03948,0,0.26844,0.20528,1.68172,0.32371,0.65532,0.11843,26.7729751,82.1457934,"Mayur Filling Center , Faizabad BY Pass Road , Lucknow ",0,0,0,0,1,0,0
NCR,Urban,Essar/ Nayara,Essar Petrol Pump ,1,"3) 10,000 - 15,000",15000,15000000,1333.333333,1293.333333,130000,0.008592201,34.66666667,14.66666667,55000,0.576923077,23039,12074,10659,15929,0.524067885,0.462650289,0.691392856,2.90809,2.43065,2.47405,0.21702,0.52085,0.0434,0.0434,0.0434,4.42725,0.52085,0,0.0434,0,0.43404,0.30383,1.64937,0.73787,1.38894,0.21702,28.6131945,76.6457068,"Essar Petrol Pump , Jhajhar Road, Jewar, NCR",1,0,0,0,0,1,0
Lucknow ,Rural,BPCL ,Shivam Petroleum Pump,1,"4) >20,000",15500,6000000,516.1290323,490.3225806,70000,0.011532125,18.06451613,-5.161290323,-20000,1.285714286,14636,6045,5536,7628,0.413022684,0.378245422,0.52118065,0,0.13665,0.06832,0,0,0,0,0,0.06832,0,0,0,0,0,0,0.06832,0,0.06832,0,26.665228,80.924483,"Shivam Petroleum Pump, Mohanlalganj, Lucknow ",0,0,0,0,1,0,0
Patna,Urban,BPCL ,Bp Petroleum,1,"2) 5,000-10,000",9800,7000000,952.3809524,908.8435374,110000,0.015471167,44.89795918,14.28571429,35000,0.681818182,155787,67069,59732,85219,0.430517309,0.383420953,0.547022537,1.74598,0.70609,1.27739,0.02568,0.26318,0.01284,0.03851,0.01284,1.90645,0.1348,0,0.05777,0.01284,0.4044,0.30811,0.65474,0.19899,0.5071,0.18615,25.5774084,85.1523551,"Bp Petroleum, Dak Bangla, Patna",0,0,1,0,0,1,0
NH-3 Indore,Highway,Essar/ Nayara,Dwarka Filling Station,1,"3) 10,000 - 15,000",15000,85000000,7555.555556,7511.111111,25000,0.000294031,6.666666667,6.666666667,25000,0,17673,6167,5777,6906,0.348950376,0.326882816,0.390765575,0.84875,4.074,0.90533,0.11317,0.05658,0,0,0,1.52775,0.05658,0,0.05658,0.16975,0.05658,0.11317,0.679,0.56583,1.18825,0.679,22.2441975,68.9684562,"Dwarka Filling Station, Lasudiya Mori, Agra Bombay Road, NH-3 Indore",1,1,0,0,0,0,0
Hyderabad,Urban,HPCL ,Sri Radha Ramana Service Station,1,"3) 10,000 - 15,000",12000,20000000,2222.222222,2150,80000,0.003984064,26.66666667,18.33333333,55000,0.3125,329498,74523,72342,115351,0.226171327,0.219552167,0.350081032,2.00912,1.63582,0.86495,0.04856,0.91958,0.03338,0.1821,0.0607,2.96815,0.27314,0.00303,0.04552,0.03945,0.73445,0.41882,1.30805,0.56146,0.81032,0.35205,17.3985568,78.4929522,"Sri Radha Ramana Service Station, YMCA Chowrasta, Narayanguda, Hyderabad",1,0,0,0,0,1,0
NH-3 Indore,Highway,IOCL ,Unitara Automobles,1,"3) 10,000 - 15,000",15000,65000000,5777.777778,5724.444444,125000,0.001919386,33.33333333,24,90000,0.28,186565,83204,75206,124070,0.445978613,0.403108836,0.665022914,1.74738,0.82009,0.55209,0.03216,0.13936,0,0.00536,0,1.37754,0.2144,0,0.02144,0.03216,0.20904,0.27872,0.88977,0.20368,0.25192,0.12864,19.9615973,73.7641807,"Unitara Automobles, Lasudiya Mori, Agra Bombay Highway, NH-3 Indore",0,1,0,0,0,1,0
Nagpur,Rural,Reliance ,Hiwarkar Petrol,1,"3) 10,000 - 15,000",15000,25000000,2222.222222,2200,285000,0.011271505,76,36,135000,0.526315789,179859,88792,84869,141694,0.493675601,0.471864071,0.787806004,2.2184,0.77283,0.53375,0.01112,0.30579,0,0,0,1.3733,0.1946,0,0.03336,0,0.31135,0.20572,0.71167,0.07784,0.17792,0.08896,21.1176498,79.1354698,"Hiwarkar Petrol, Gulkeda Village Kalpana Road Nagpur , Nagpur",0,0,0,0,0,0,0
Hyderabad,Urban,Reliance ,Namskar Reliance Petro Marketing Ltd ,1,"3) 10,000 - 15,000",10000,25000000,3333.333333,3260,95000,0.003785615,38,22,55000,0.421052632,315101,119156,113990,174726,0.378151767,0.361757024,0.55450792,2.22468,1.77086,0.84417,0.11108,0.79974,0.04443,0.14281,0.04443,3.45603,0.22215,0,0.03808,0.05078,0.65693,0.29514,1.225,0.54586,0.78705,0.42526,17.385044,78.486671,"Namskar Reliance Petro Marketing Ltd , Kothapet Vegetables Market, Hyderabad",1,0,0,0,0,1,0
